row_id,country_code,year,agricultural_land_area,forest_area,total_land_area,population_growth,avg_value_of_food_production,food_imports_as_share_of_merch_exports,gross_domestic_product_per_capita_ppp,per_capita_food_supply_variability,avg_supply_of_protein_of_animal_origin,caloric_energy_from_cereals_roots_tubers,access_to_improved_sanitation,access_to_improved_water_sources,obesity_prevalence,access_to_electricity,co2_emissions,ratio_urban_population_total
0,889f053,2002,0.6448491608835737,0.3265911032697646,0.5227596567921171,0.5555817302714572,0.22195461215265794,0.4125895309423786,0.3432249598028785,0.34803411286476515,0.2472532264211809,0.6721821543276724,0.3604587784721241,0.38136638688000846,0.339887723547214,0.514124817030177,0.5019452320123398,0.2691315191845077
1,9e614ab,2012,0.3934225327802249,0.5981213342228511,0.4354337276442761,0.463276232300114,0.5836760600395567,0.27003111731091833,0.3679342955576639,0.49508370321727313,0.3100085760250101,0.7394355172639443,0.5817354996049537,0.5666249010171884,0.11302617421762662,0.7620736038495856,0.28108189032722797,0.3516079743524834
2,100c476,2000,0.013087842825849239,0.09965662400964925,0.017266904408668182,0.5156929824509411,0.36059718369195926,0.5731863760568081,0.6444197580677475,0.3482487621275545,0.7292235538664823,0.08933629245612001,0.8257755356099928,0.9384162337197525,0.5954296672847479,0.8938372610671036,0.12038613520233293,0.3195085960523483
3,4609682,2013,0.5451739292424163,0.37141889372844916,0.39659294279247714,0.4556967555634305,0.6473804989281665,0.31479645880921914,0.5343699814612392,0.35662339689190214,0.511734299066353,0.4532108156953184,0.8963768071830821,0.9106609074434157,0.6813532774224069,0.9711122875796894,0.5588713347022514,0.6501692030189465
4,be2a7f5,2008,0.05916884097044489,0.17713019471785973,0.03984728208739269,0.37983650367673144,0.6727174253903103,0.6157903120739179,0.5288598832708321,0.7102413936682584,0.7680287733796725,0.18991990201231235,0.7709169048600345,0.89844982267394,0.6210129340113777,0.9014808492052417,0.028361167379998442,0.6696310417514615
5,7e222a7,2014,0.47380192953208555,0.6214420048934681,0.44530484809102333,0.5734294985175308,0.41048262539439945,0.18392499688699704,0.6236588066886468,0.6377163217563471,0.6853450279846172,0.4541375294590727,0.34047505932209904,0.8689724662954531,0.47901106054478876,0.8798859051192968,0.3926463997103111,0.8698003344582471
6,066b021,2007,0.46374594827279053,0.30903703490714385,0.38918541697766285,0.5144175829401324,0.3664629164688064,0.41071043353232173,0.20356185430448429,0.5401425160426286,0.2209427539772985,0.6778515202525349,0.9120232473647681,0.495262436191233,0.32275580974970375,0.9875967368608487,0.3443886245558203,0.2644718380858398
7,66b86bf,2000,0.4805540317927568,0.46007210522182457,0.3658974974897028,0.31515070111446486,0.6744664589940446,0.2113590827635058,0.49852106435035126,0.9027567214440164,0.6678222621242285,0.3240177615286398,0.8320510009553006,0.9772699846402905,0.5790384345184576,0.9773972706600988,0.6046674935702455,0.6919107960613514
8,583201c,2010,0.596010771539471,0.5415577291391068,0.432092617489737,0.5390637526816072,0.5863634118282464,0.3735626239375523,0.29608254304273196,0.7306885604263518,0.32306838691861417,0.655895630175578,0.037344902827705875,0.7500994799570354,0.3500561836165799,0.6444771003331187,0.45872914536839904,0.5046705532267296
9,0ea781c,2009,0.08278994549699403,0.2533658674368592,0.10613760073007045,0.4218333201833443,0.5879558257669382,0.6941669981597094,0.4051256664932826,0.6532311186454473,0.7406241147084298,0.09493716093282484,0.9074300162364485,0.9358902416351825,0.957995800535085,0.9429494343550302,0.06231510919502886,0.1985574056038882
10,2ddc563,2015,0.36428842643905135,0.29383009579569563,0.25629310220460566,0.3959135604662307,0.6713970880764546,0.518330370158427,0.47963246129759407,0.8247266796405066,0.6747609609375356,0.27148163918761303,0.8761855154179169,0.9819947752199322,0.6017524422206606,0.9844431449472358,0.3989790941299501,0.6290388985095741
11,b79b5f9,2009,0.423524786314494,0.49435083699563276,0.36712832794040334,0.5075401081041613,0.525162550859105,0.38101652760637406,0.34350434908275973,0.5030105438595217,0.4716388504654856,0.3747231231510999,0.7067338848134515,0.7996093061917849,0.4797606895797905,0.7797328376179761,0.4345883137102351,0.5041259278181669
12,f787860,2003,0.01754833507097059,0.14640941052194528,0.012425958622444666,0.3814145758007336,0.5072174589697254,0.6290604481154497,0.4964893636721465,0.7204470839753627,0.6838201669244297,0.2543440709408594,0.7296505066064187,0.8962396628145622,0.5116632151272484,0.8199544009319062,0.0658890274386642,0.4526627695251506
